Date,avg_Temperature,min_Temperature,max_Temperature,avg_lower_bound,avg_upper_bound
2025-05-25,-1.7166250208153664e+66,-5.931514716394636e+67,4.142460701133803e+67,-1.7166250208153664e+66,-1.7166250208153664e+66
2025-05-26,-1.3670851681684818e+67,-1.4112696658071894e+68,1.396633214338328e+68,-1.3670851681684818e+67,-1.3670851681684818e+67
2025-05-27,-2.1566546598447788e+66,-4.577818312733394e+68,3.5959034210353435e+68,-2.1566546598447788e+66,-2.1566546598447788e+66
2025-05-28,-1.5093146638678472e+68,-1.2286226459111092e+69,1.0355101774481074e+69,-1.5093146638678472e+68,-1.5093146638678472e+68
2025-05-29,8.080471398175966e+67,-3.4028226692393568e+69,3.0996252183463933e+69,8.080471398175966e+67,8.080471398175966e+67
2025-05-30,-1.554941104607317e+69,-1.0419060743083635e+70,7.259492221113507e+69,-1.554941104607317e+69,-1.554941104607317e+69
2025-05-31,1.4598321434298336e+69,-2.4088193880997297e+70,2.6541744711066773e+70,1.4598321434298336e+69,1.4598321434298336e+69
2025-06-01,-1.5284168718357798e+70,-9.128140450957673e+70,5.479750027968843e+70,-1.5284168718357798e+70,-1.5284168718357798e+70
2025-06-02,1.812294501555766e+70,-1.8723799356669633e+71,2.311525534254685e+71,1.812294501555766e+70,1.812294501555766e+70
2025-06-03,-1.449376870538967e+71,-7.809272407222059e+71,4.723881529857937e+71,-1.449376870538967e+71,-1.449376870538967e+71
2025-06-04,1.948593572164016e+71,-1.5879470623786252e+72,1.953287524209746e+72,1.948593572164016e+71,1.948593572164016e+71
2025-06-05,-1.3335445743695822e+72,-6.761775770195497e+72,4.044538202965099e+72,-1.3335445743695822e+72,-1.3335445743695822e+72
2025-06-06,1.9234161395224067e+72,-1.391063516171515e+73,1.7180303441508868e+73,1.9234161395224067e+72,1.9234161395224067e+72
2025-06-07,-1.197033413135193e+73,-5.83609152721497e+73,3.522705154774171e+73,-1.197033413135193e+73,-1.197033413135193e+73
2025-06-08,1.790683663850887e+73,-1.1901656100783495e+74,1.4664412568225338e+74,1.790683663850887e+73,1.790683663850887e+73
2025-06-09,-1.0491145017481143e+74,-4.993888171900505e+74,2.9770122196601564e+74,-1.0491145017481143e+74,-1.0491145017481143e+74
2025-06-10,1.5914153187296842e+74,-1.0304207362146966e+75,1.2725237516400214e+75,1.5914153187296842e+74,1.5914153187296842e+74
2025-06-11,-9.003350776970663e+74,-4.348551618749865e+75,2.6181593118298677e+75,-9.003350776970663e+74,-9.003350776970663e+74
2025-06-12,1.354817697215384e+75,-8.894225896938439e+75,1.0971810483211387e+76,1.354817697215384e+75,1.354817697215384e+75
2025-06-13,-7.561819039187153e+75,-3.688507084251998e+76,2.2349434268916504e+76,-7.561819039187153e+75,-7.561819039187153e+75
2025-06-14,1.1086207008031382e+76,-7.609946093167476e+76,9.391772981916058e+76,1.1086207008031382e+76,1.1086207008031382e+76
2025-06-15,-6.216455776561024e+76,-3.230546466095202e+77,1.9391808706715438e+77,-6.216455776561024e+76,-6.216455776561024e+76
2025-06-16,8.66272821462089e+76,-6.627043453399993e+77,8.181467019448395e+77,8.66272821462089e+76,8.66272821462089e+76
2025-06-17,-4.99875740069524e+77,-2.7643991876985716e+78,1.6721213259513296e+78,-4.99875740069524e+77,-4.99875740069524e+77
2025-06-18,6.424771925647576e+77,-5.6215719507266424e+78,6.915270014990926e+78,6.424771925647576e+77,6.424771925647576e+77
2025-06-19,-3.919460394544374e+78,-2.3928858724547486e+79,1.4311552777048999e+79,-3.919460394544374e+78,-3.919460394544374e+78
2025-06-20,4.426525748449732e+78,-4.923119495369846e+79,6.080317258692885e+79,4.426525748449732e+78,4.426525748449732e+78
2025-06-21,-2.991395797414627e+79,-2.0657606195311553e+80,1.2468335323425632e+80,-2.991395797414627e+79,-2.991395797414627e+79
2025-06-22,2.7115583507989076e+79,-4.2130565802037185e+80,5.191225821846609e+80,2.7115583507989076e+79,2.7115583507989076e+79
2025-06-23,-2.2058357358711326e+80,-1.7671233418935944e+81,1.0539578103007047e+81,-2.2058357358711326e+80,-2.2058357358711326e+80
2025-06-24,1.2961928719636652e+80,-3.6464944472571703e+81,4.503216777895237e+81,1.2961928719636652e+80,1.2961928719636652e+80
2025-06-25,-1.5598718642903707e+81,-1.5391109291098827e+82,9.26597603437768e+81,-1.5598718642903707e+81,-1.5598718642903707e+81
2025-06-26,1.626974940417925e+80,-3.148225058927955e+82,3.883706841803032e+82,1.626974940417925e+80,1.626974940417925e+80
2025-06-27,-1.0393423466070164e+82,-1.305785311495997e+83,7.911729764576746e+82,-1.0393423466070164e+82,-1.0393423466070164e+82
2025-06-28,-6.962994975903457e+81,-2.692832743093017e+83,3.2502921091986714e+83,-6.962994975903457e+81,-6.962994975903457e+81
2025-06-29,-6.30968027406266e+82,-1.0795158083634536e+84,6.862383238221507e+83,-6.30968027406266e+82,-6.30968027406266e+82
2025-06-30,-1.3210091594907393e+83,-2.3455507683967714e+84,2.6364751445322758e+84,-1.3210091594907393e+83,-1.3210091594907393e+83
2025-07-01,-3.2109373084623714e+83,-8.686143150134347e+84,5.918826454529858e+84,-3.2109373084623714e+83,-3.2109373084623714e+83
2025-07-02,-1.7357859387123286e+84,-1.9901171071132913e+85,2.068132554001217e+85,-1.7357859387123286e+84,-1.7357859387123286e+84
2025-07-03,-9.274897427190885e+83,-6.782126218281062e+85,5.064116175976579e+85,-9.274897427190885e+83,-9.274897427190885e+83
2025-07-04,-1.979100661741491e+85,-1.742340418095289e+86,1.558849400710645e+86,-1.979100661741491e+85,-1.979100661741491e+85
2025-07-05,6.600816433912255e+84,-5.1146043306499e+86,4.413058901048513e+86,6.600816433912255e+84,6.600816433912255e+84
2025-07-06,-2.083875997383814e+86,-1.491373143276919e+87,1.1172376104722533e+87,-2.083875997383814e+86,-2.083875997383814e+86
2025-07-07,1.704041009467334e+86,-3.6900389387296844e+87,3.7313395133383073e+87,1.704041009467334e+86,1.704041009467334e+86
2025-07-08,-2.0787291990475457e+87,-1.2904338965430093e+88,7.716892071207613e+87,-2.0787291990475457e+87,-2.0787291990475457e+87
2025-07-09,2.309151568864275e+87,-2.6551988369244385e+88,3.279331766504843e+88,2.309151568864275e+87,2.309151568864275e+87
2025-07-10,-1.9955022986107613e+88,-1.1143523605196984e+89,6.725376492457344e+88,-1.9955022986107613e+88,-1.9955022986107613e+88
2025-07-11,2.585279988431526e+88,-2.2729111944186997e+89,2.8007564000674193e+89,2.585279988431526e+88,2.585279988431526e+88
2025-07-12,-1.854229161952469e+89,-9.528760803508359e+89,5.686936475559306e+89,-1.854229161952469e+89,-1.854229161952469e+89
2025-07-13,2.6213064308942654e+89,-1.9664775628953797e+90,2.428458570887047e+90,2.6213064308942654e+89,2.6213064308942654e+89
2025-07-14,-1.678760738156983e+90,-8.30173830227274e+90,4.997466363565196e+90,-1.678760738156983e+90,-1.678760738156983e+90
2025-07-15,2.485578629343011e+90,-1.698274691106181e+91,2.0950889281058914e+91,2.485578629343011e+90,2.485578629343011e+90
2025-07-16,-1.483540402076913e+91,-7.045285559043709e+91,4.268511036286955e+91,-1.483540402076913e+91,-1.483540402076913e+91
2025-07-17,2.2451869529670782e+91,-1.4520400883992876e+92,1.7919242865845345e+92,2.2451869529670782e+91,2.2451869529670782e+91
2025-07-18,-1.2824391530202385e+92,-6.166303053704179e+92,3.700687432616317e+92,-1.2824391530202385e+92,-1.2824391530202385e+92
2025-07-19,1.9394822623975692e+92,-1.2651545781464328e+93,1.561960504779798e+93,1.9394822623975692e+92,1.9394822623975692e+92
2025-07-20,-1.0856600369488103e+93,-5.27927734842719e+93,3.192943250366694e+93,-1.0856600369488103e+93,-1.0856600369488103e+93
2025-07-21,1.6102514137435288e+93,-1.0737546528347533e+94,1.32100737532364e+94,1.6102514137435288e+93,1.6102514137435288e+93
2025-07-22,-8.991666562785575e+93,-4.566623520821731e+94,2.7306002100322666e+94,-8.991666562785575e+93,-8.991666562785575e+93
2025-07-23,1.2800540860135236e+94,-9.396987373801874e+94,1.160589457761968e+95,1.2800540860135236e+94,1.2800540860135236e+94
2025-07-24,-7.290736547202806e+94,-3.944377342472724e+95,2.3803817810642172e+95,-7.290736547202806e+94,-7.290736547202806e+94
